date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:46	4150/4150	---M--	200	added ('OK')	image/svg+xml	etag:%221036-615f6cb1e00d4%22	https://shreethemes.in/landrick/landing/assets/images/icon/mail.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/icon/mail.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:48	146967/146967	---M--	200	added ('OK')	image/png	etag:%2223e17-615f6cb20df39%22	https://shreethemes.in/landrick/landing/assets/images/saas/classic04.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/saas/classic04.png	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:49	30860/30860	---M--	200	added ('OK')	image/svg+xml	etag:%22788c-615f6cb1b7091%22	https://shreethemes.in/landrick/landing/assets/images/customer/customer.svg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/customer/customer.svg	(from https://shreethemes.in/landrick/landing/index-customer.html)
17:54:51	1114550/1114550	---M--	200	added ('OK')	image/png	etag:%221101b6-615f6cb22563b%22	https://shreethemes.in/landrick/landing/assets/images/software/bg.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/software/bg.png	(from https://shreethemes.in/landrick/landing/index-software.html)
17:54:51	169126/169126	---M--	200	added ('OK')	image/png	etag:%22294a6-615f6cb2265db%22	https://shreethemes.in/landrick/landing/assets/images/software/software.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/software/software.png	(from https://shreethemes.in/landrick/landing/index-software.html)
17:54:53	249322/249322	---M--	200	added ('OK')	image/png	etag:%223cdea-615f6cb22563b%22	https://shreethemes.in/landrick/landing/assets/images/software/mobile01.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/software/mobile01.png	(from https://shreethemes.in/landrick/landing/index-software.html)
17:54:54	324979/324979	---M--	200	added ('OK')	image/png	etag:%224f573-615f6cb22563b%22	https://shreethemes.in/landrick/landing/assets/images/software/mobile-hori.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/software/mobile-hori.png	(from https://shreethemes.in/landrick/landing/index-software.html)
17:54:54	53657/53657	---M--	200	added ('OK')	image/jpeg	etag:%22d199-615f6cb239e5d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/ab02.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/ab02.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:54:55	814264/814264	---M--	200	added ('OK')	image/jpeg	etag:%22c6cb8-615f6cb23bd9d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/bg.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/bg.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:54:55	45805/45805	---M--	200	added ('OK')	image/jpeg	etag:%22b2ed-615f6cb239e5d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/ab01.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/ab01.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:54:56	47145/47145	---M--	200	added ('OK')	image/jpeg	etag:%22b829-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/sound.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/sound.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:54:58	65957/65957	---M--	200	added ('OK')	image/jpeg	etag:%22101a5-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/maditation.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/maditation.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:54:58	47038/47038	---M--	200	added ('OK')	image/jpeg	etag:%22b7be-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/relaxing.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/relaxing.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:00	55528/55528	---M--	200	added ('OK')	image/png	etag:%22d8e8-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/life-coach.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/life-coach.png	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:01	71159/71159	---M--	200	added ('OK')	image/png	etag:%22115f7-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/meditation.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/meditation.png	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:01	48253/48253	---M--	200	added ('OK')	image/png	etag:%22bc7d-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/nutrition.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/nutrition.png	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:03	66719/66719	---M--	200	added ('OK')	image/png	etag:%221049f-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/religious.png	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/religious.png	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:04	68911/68911	---M--	200	added ('OK')	image/jpeg	etag:%2210d2f-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/cta.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/cta.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:05	22477/22477	---M--	200	added ('OK')	image/jpeg	etag:%2257cd-615f6cb23ec7d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/t01.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/t01.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:05	208664/208664	---M--	200	added ('OK')	image/jpeg	etag:%2232f18-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/bg02.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/bg02.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:06	16588/16588	---M--	200	added ('OK')	image/jpeg	etag:%2240cc-615f6cb23ec7d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/t02.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/t02.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:07	34139/34139	---M--	200	added ('OK')	image/jpeg	etag:%22855b-615f6cb23ec7d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/t03.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/t03.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:08	17616/17616	---M--	200	added ('OK')	image/jpeg	etag:%2244d0-615f6cb23ec7d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/t04.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/t04.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:09	31452/31452	---M--	200	added ('OK')	image/jpeg	etag:%227adc-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i1.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i1.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:10	35117/35117	---M--	200	added ('OK')	image/jpeg	etag:%22892d-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i2.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i2.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:11	40796/40796	---M--	200	added ('OK')	image/jpeg	etag:%229f5c-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i3.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i3.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:12	14967/14967	---M--	200	added ('OK')	image/jpeg	etag:%223a77-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i4.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i4.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:13	15246/15246	---M--	200	added ('OK')	image/jpeg	etag:%223b8e-615f6cb23cd3d%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i5.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i5.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
17:55:14	18833/18833	---M--	200	added ('OK')	image/jpeg	etag:%224991-615f6cb23dcdd%22	https://shreethemes.in/landrick/landing/assets/images/yoga/i6.jpg	./landrick-dashboard/shreethemes.in/landrick/landing/assets/images/yoga/i6.jpg	(from https://shreethemes.in/landrick/landing/index-yoga.html)
